Company,Growth Category,Physician Density,Scale Metric,Decision Makers,Ownership Structure,Procedure Focus,Top State Footprint (Excl. CA),Verification URL (2024-2026)
AdventHealth (FL),IDN,500+ Ortho Specialists (Proxy),Level I (Orlando); 50+ Hospitals,Lisa Borbon (Service Line Dir); Sarah Azon (VAC),Surgery Center of Central FL; Numerous HOPDs,Mako; Rosa; ExcelsiusGPS,FL; GA; NC,https://www.adventhealth.com/locations/hospitals/tampa/services/surgical-care-and-robotics
Baptist Health South Florida (FL),IDN,4000+ Total Physicians (Proxy),Level II (Baptist Hospital); 12 Hospitals,John Uribe (Chief Med Exec); Karli Caruso (VAC),Baptist Health Orthopedic Institute; 200+ Centers,Mako; Rosa,FL,https://baptistleader.org/article/baptists-value-analysis-plays-key-role-in-providing-cost-effective-care/
Texas Health Resources (TX),IDN,1000+ Ortho Specialists (Proxy),Level I (TH Dallas); 29 Hospitals,Lucky Denenga (Service Line Dir); Shaun Clinton (VAC),Texas Health Surgery Centers (ASCs); HOPDs,Mako; Rosa,TX,https://www.beckershospitalreview.com/lists/52-hospital-and-health-system-supply-chain-leaders-to-know-2024/
Houston Methodist (TX),IDN,500+ Ortho Specialists (Proxy),Level I (TMC); 8 Hospitals,George Walker (VP Operations); George Godfrey (VAC),Houston Methodist Orthopedics & Sports Medicine,Mako; Rosa,TX,https://www.houstonmethodist.org/for-health-professionals/department-programs/orthopedic-surgery/
Northwell Health (NY),IDN,1000+ Ortho Specialists (Proxy),Level I (North Shore/LIJ); 21 Hospitals,James Donald Slover (VP); Donna Drummond (VAC),Northwell Orthopaedic Institute; Lenox Hill,Mako; Rosa; xvision (AR),NY,https://physicians.northwell.edu/education/graduate-medical-education/residency-orthopedic-surgery-lenox-hill-hospital
NYU Langone Health (NY),IDN,200+ Ortho Faculty (Proxy),Level I (Tisch/Kimmel); 6 Hospitals,Eric Strauss (Director); Jeremy Paul (VAC),NYU Langone Orthopedic Hospital; Orthopedic Center,Mako; Rosa,NY; FL,https://nyulangone.org/locations/nyu-langone-orthopedic-center/meet-our-leadership-team
Emory Healthcare (GA),IDN,150+ Ortho Faculty (Proxy),Level I (Grady); Level II (Midtown); 11 Hospitals,Shervin Oskouei (Service Line Leader); Noah Dunlap (VAC),Emory Musculoskeletal Institute; EUOSH,Mako; Rosa,GA,https://med.emory.edu/about/_files/march-30-leader-transition-message_-ortho-2026-03-30-11_37am-export.html
Wellstar Health System (GA),IDN,300+ Ortho Specialists (Proxy),Level I (Kennestone); 11 Hospitals,Stephen Becher (Program Dir); Michael McCullough (VAC),Wellstar Orthopedics and Sports Medicine,Mako; Rosa,GA,https://gme.wellstar.org/programs/kennestone-orthopedic-surgery/
Vanderbilt University Medical Center (TN),IDN,100+ Ortho Faculty (Proxy),Level I Trauma,Aaron Yang (Med Dir); David Posch (VAC),Vanderbilt Orthopedic Institute; Adult Hospital,Mako,TN,https://news.vumc.org/2024/01/04/david-posch-assumes-new-role-of-senior-vice-president-for-business-consulting/
Memorial Hermann Health System (TX),IDN,500+ Ortho Specialists (Proxy),Level I (TMC); 17 Hospitals,Jamie Hons (Service Line Dir); Reddy Gottipolu (VAC),Memorial Hermann | Rockets Orthopedic Hospital,Mako,TX,https://memorialhermann.org/locations/orthopedic-hospital
Providence (CA/National),IDN,2000+ Ortho Specialists (Proxy),Level II (various); 51 Hospitals,Susan Huang (Chief Physician Exec); Hector Boirie (VAC),Providence Clinical Network; Regional HOPDs,Mako; Rosa,WA; OR; AK,https://www.providence.org/about/leadership
Banner Health (AZ/CO),IDN,500+ Ortho Specialists (Proxy),Level I (University); 30 Hospitals,Benjamin Schwartz (President); Ryan Koos (VAC),Banner Surgery Centers; HOPDs,Mako; Rosa,AZ; CO; NE,https://www.bannerhealth.com/about/leadership/other-senior-leadership/ryan-koos
