Company,Growth Category,Physician Density,Scale Metric,Decision Makers,Ownership Structure,Procedure Focus,Top State Footprint (Excl. CA),Verification URL (2024-2026)
USPI (United Surgical Partners International),Multi-Specialty | Hybrid,11000+ Affiliated (Ortho/Spine ~3000+),520+ ASCs; 24 Surgical Hospitals,Andy McCawley (Chief Development Officer),Subsidiary of Tenet Healthcare; Joint Ventures with 50+ Health Systems,High-volume Total Joint (19% growth in 2024),TX; FL; GA,https://www.beckersasc.com/asc-transactions-and-valuation-issues/uspi-in-2024-10-notes/
SCA Health (Optum),Multi-Specialty | Hybrid,9200+ Affiliated (Ortho/Spine ~2500+),320+ ASCs,Marie Edler (Chief Growth Officer); Jason Strauss (CEO),Owned by Optum (UnitedHealth Group),Specialty Surgical (Ortho/Spine focus),TX; FL; IL,https://sca.health/about-us/leadership/
Surgery Partners,Multi-Specialty | Hybrid,4000+ Affiliated (Ortho/Spine ~1000+),200+ Locations; 161 Surgical Facilities,Jennifer Baldock (Chief Development Officer); Eric Evans (CEO),Bain Capital Backed / Public; Health System JVs,High-acuity Orthopedics (13% growth),TX; FL; TN,https://ir.surgerypartners.com/news-releases/news-release-details/surgery-partners-inc-announces-fourth-quarter-and-full-year-2024
HOPCo (Healthcare Outcomes Performance Company),Multi-Specialty | MSO,800+ MSK Providers,80+ Locations under management,Peter Slate (Chief Corporate Development Officer); Wael Barsoum (President),PE-Backed (Audax/Frazier); Physician-Led,Value-Based MSK Care Pathways,AZ; FL; NV,https://hopco.com/hopco-continues-msk-growth-partnerships/
AmSurg (Ascension partnership),Multi-Specialty | Hybrid,2000+ Affiliated (Ortho/Spine ~500+),250+ ASCs,John Lamberth (Chief Development Officer); Jeff Snodgrass (CEO),Ascension Health (Definitive Agreement 2025); Physician JVs,Multi-specialty (High-volume Ortho/GI),TX; FL; TN,https://amsurg.com/about-amsurg/leadership/
HCA Healthcare (Orthopedic Service Line),Multi-Specialty | IDN,3400+ Physician Partners in Surgery Ventures,150+ ASCs; 190 Hospitals,Greg Beasley (President of Surgery Ventures),Wholly-Owned / Physician Joint Ventures,High-volume Total Joint and Trauma,TX; FL; TN,https://www.hcahealthcare.com/for-physicians/surgery-ventures/executive-leadership
Rothman Orthopaedic Institute,Multi-Specialty | MSO (Physician-Led),190+ Physicians,34+ Office/Surgical Locations,Alex Vaccaro (President),Physician-Owned,Sub-specialized Orthopedics and Spine,PA; NJ; FL,https://www.rothmanortho.com/about-us/
OrthoAlliance,Multi-Specialty | MSO,200+ Physicians,100+ Clinics/ASCs (Proxy),Andrew Carlson (Chief Growth Officer); Paul Eichenseer (CPO),Physician-Led MSO; PE-Backed (Clearview Capital),Innovative Value-Focused Orthopedics,OH; KY; IN,https://orthoalliance.com/become-a-partner-physician/
CommonSpirit Health,Multi-Specialty | IDN,4000+ Ortho Specialists (Proxy),2200+ Care Sites (24 States),Thomas McGinn (EVP Physician Enterprise),Non-profit Religious Health System,Comprehensive Musculoskeletal Care,TX; AZ; CO,https://www.commonspirit.org/leadership
United Musculoskeletal Partners (UMP),Multi-Specialty | MSO,223+ Physicians (372 Total Providers),80+ Locations,Alex Bateman (CEO); James Jackson (Chief Development Officer),PE-Backed (Welsh; Carson; Anderson & Stowe),Elite Physician-Owned MSK platform,GA; TX; CO,https://www.umpartners.com/our-team/alex-bateman
AdventHealth (FL),Multi-Specialty | IDN,500+ Ortho Specialists (Proxy),Level I (Orlando); 50+ Hospitals,Lisa Borbon (Service Line Dir); Sarah Azon (VAC),Surgery Center of Central FL; Numerous HOPDs,Mako; Rosa; ExcelsiusGPS,FL; GA; NC,https://www.adventhealth.com/locations/hospitals/tampa/services/surgical-care-and-robotics
Baptist Health South Florida (FL),Multi-Specialty | IDN,4000+ Total Physicians (Proxy),Level II (Baptist Hospital); 12 Hospitals,John Uribe (Chief Med Exec); Karli Caruso (VAC),Baptist Health Orthopedic Institute; 200+ Centers,Mako; Rosa,FL,https://baptistleader.org/article/baptists-value-analysis-plays-key-role-in-providing-cost-effective-care/
Texas Health Resources (TX),Multi-Specialty | IDN,1000+ Ortho Specialists (Proxy),Level I (TH Dallas); 29 Hospitals,Lucky Denenga (Service Line Dir); Shaun Clinton (VAC),Texas Health Surgery Centers (ASCs); HOPDs,Mako; Rosa,TX,https://www.beckershospitalreview.com/lists/52-hospital-and-health-system-supply-chain-leaders-to-know-2024/
Houston Methodist (TX),Multi-Specialty | IDN,500+ Ortho Specialists (Proxy),Level I (TMC); 8 Hospitals,George Walker (VP Operations); George Godfrey (VAC),Houston Methodist Orthopedics & Sports Medicine,Mako; Rosa,TX,https://www.houstonmethodist.org/for-health-professionals/department-programs/orthopedic-surgery/
Northwell Health (NY),Multi-Specialty | IDN,1000+ Ortho Specialists (Proxy),Level I (North Shore/LIJ); 21 Hospitals,James Donald Slover (VP); Donna Drummond (VAC),Northwell Orthopaedic Institute; Lenox Hill,Mako; Rosa; xvision (AR),NY,https://physicians.northwell.edu/education/graduate-medical-education/residency-orthopedic-surgery-lenox-hill-hospital
NYU Langone Health (NY),Multi-Specialty | IDN,200+ Ortho Faculty (Proxy),Level I (Tisch/Kimmel); 6 Hospitals,Eric Strauss (Director); Jeremy Paul (VAC),NYU Langone Orthopedic Hospital; Orthopedic Center,Mako; Rosa,NY; FL,https://nyulangone.org/locations/nyu-langone-orthopedic-center/meet-our-leadership-team
Emory Healthcare (GA),Multi-Specialty | IDN,150+ Ortho Faculty (Proxy),Level I (Grady); Level II (Midtown); 11 Hospitals,Shervin Oskouei (Service Line Leader); Noah Dunlap (VAC),Emory Musculoskeletal Institute; EUOSH,Mako; Rosa,GA,https://med.emory.edu/about/_files/march-30-leader-transition-message_-ortho-2026-03-30-11_37am-export.html
Wellstar Health System (GA),Multi-Specialty | IDN,300+ Ortho Specialists (Proxy),Level I (Kennestone); 11 Hospitals,Stephen Becher (Program Dir); Michael McCullough (VAC),Wellstar Orthopedics and Sports Medicine,Mako; Rosa,GA,https://gme.wellstar.org/programs/kennestone-orthopedic-surgery/
Vanderbilt University Medical Center (TN),Multi-Specialty | IDN,100+ Ortho Faculty (Proxy),Level I Trauma,Aaron Yang (Med Dir); David Posch (VAC),Vanderbilt Orthopedic Institute; Adult Hospital,Mako,TN,https://news.vumc.org/2024/01/04/david-posch-assumes-new-role-of-senior-vice-president-for-business-consulting/
Memorial Hermann Health System (TX),Multi-Specialty | IDN,500+ Ortho Specialists (Proxy),Level I (TMC); 17 Hospitals,Jamie Hons (Service Line Dir); Reddy Gottipolu (VAC),Memorial Hermann | Rockets Orthopedic Hospital,Mako,TX,https://memorialhermann.org/locations/orthopedic-hospital
Providence (CA/National),Multi-Specialty | IDN,2000+ Ortho Specialists (Proxy),Level II (various); 51 Hospitals,Susan Huang (Chief Physician Exec); Hector Boirie (VAC),Providence Clinical Network; Regional HOPDs,Mako; Rosa,WA; OR; AK,https://www.providence.org/about/leadership
Banner Health (AZ/CO),Multi-Specialty | IDN,500+ Ortho Specialists (Proxy),Level I (University); 30 Hospitals,Benjamin Schwartz (President); Ryan Koos (VAC),Banner Surgery Centers; HOPDs,Mako; Rosa,AZ; CO; NE,https://www.bannerhealth.com/about/leadership/other-senior-leadership/ryan-koos
OrthoVirginia (VA),Multi-Specialty | Mega-Group,166 Physicians,37 Locations; Midlothian Surgical Center,David Jevsevar (CEO); Barbie Hayes (COO),Physician-Owned; Formal Value Analysis (Donna Kurek),High Volume Joint/Spine; AR-Spine focus,VA,https://www.beckersspine.com/orthopedic-spine-practices-improving-profits/6-things-to-know-about-orthovirginia/
Twin Cities Orthopedics (TCO) (MN),Multi-Specialty | Mega-Group,135+ Physicians,8+ Surgery Centers (Blaine; Eagan; Edina; etc.),Christopher Meyer (CEO); Aaron Johnson (Former CEO),Physician-Led; Revo Health (MSO) Review Process,High Volume Joint Replacement (>500/surgeon),MN; WI,https://tcomn.com/services/surgery/
EmergeOrtho (NC),Multi-Specialty | Mega-Group,188 Physicians,64 Locations; Brunswick Surgery Center; Triangle ASC,Allison Farmer (CEO); Scott Hannum (Medical Dir),Physician-Owned; PELTO Health Partners Review,High Volume Arthroplasty (ROSA focus),NC,https://www.beckersspine.com/orthopedic/where-20-of-the-largest-orthopedic-groups-stand-heading-into-2026/
Illinois Bone & Joint Institute (IBJI) (IL),Multi-Specialty | Mega-Group,165 Physicians,100+ Locations; IBJI Salt Creek ASC,Andre Blom (CEO); Leon Benson (CMO),Physician-Owned; Formal CMO Internal Review,High Volume Total Joint; Sports Med,IL,https://www.ibji.com/blog/ibji-news-room/ibji-new-board-leadership-burra-benson/
The Campbell Clinic (TN),Multi-Specialty | Mega-Group,80+ Physicians,30+ Locations; Germantown/Midtown Surgery Centers,Daniel Shumate (CEO); John Crockarell (Chief of Staff),Physician-Owned; Internal Academic Review,High Volume Adult Reconstruction/Trauma,TN; MS; VA,https://memphismedicalnews.com/article/1595/campbell-clinic-announces-leadership-transition
Resurgens Orthopaedics (GA),Multi-Specialty | Mega-Group,95 Physicians,24+ Locations; St. Joseph's Surgery Center (JV),Alex Bateman (CEO); Raj Bhole (Physician Dir),Physician-Owned; UMP Platform Value Analysis,High Volume Joint/Spine; Largest in GA,GA,https://www.resurgens.com/news/24-resurgens-physicians-named-top-docs
Florida Orthopaedic Institute (FOI) (FL),Multi-Specialty | Mega-Group,120 Physicians,FOI Surgery Center; 3 USPI Partner ASCs,Joseph R. Gordon (CEO); Roy Sanders (CMO),Physician-Owned; CMO-Led Clinical Review,High Volume Multi-Specialty Ortho,FL,https://www.floridaortho.com/news/foi-physicians-featured-in-tampa-magazines-2024-top-doctors-list/
Premier Orthopaedics (PA),Multi-Specialty | Mega-Group,61 Physicians,Main Line Surgery Center (JV); Chester/Delaware locations,Matthew O'Malley (CEO); Jonathan Garino (President),Physician-Owned; HOPCo-Led Value Analysis,High Volume Joint/Sports Med,PA,https://hopco.com/the-move-to-value-based-care-premier-orthopaedics/
Sanford Health Orthopedics (ND/SD/MN),Multi-Specialty | Specialty Provider,100+ Ortho Surgeons (System-wide),Sanford Surgical Center; Great Plains ASC,Bill Gassen (System CEO); Dean Kusler (VP Ortho),Non-profit IDN; Formal VAC System Process,High Volume Joint/Trauma/Sports,SD; ND; MN,https://news.sanfordhealth.org/news-release/page/7/
The CORE Institute (AZ/National),Multi-Specialty | Mega-Group,72 Physicians,CORE Specialty Hospital; 20+ AZ Locations,David Jacofsky (CEO); Jason Scalise (Chief Value Officer),Physician-Led; HOPCo Value-Based Review,High Volume Complex Joint/Oncology,AZ; MI,https://www.beckersasc.com/leadership/10-physician-practice-and-asc-ceo-influencers-to-know-2025/
Cleveland Clinic (OH),Multi-Specialty | IDN,125+ Ortho Physicians,Level I Trauma (Provisional 2026); 20+ Hospitals,Thomas Mroz (Chair Ortho/Rheum); William Wick Jr (VAC),Non-profit Academic IDN; International Strategy,Mako; Rosa; DaVinci,OH; FL; NV,https://consultqd.clevelandclinic.org/thomas-mroz-md-named-chair-of-the-orthopaedic-rheumatologic-institute
University Hospitals (OH),Multi-Specialty | IDN,100+ Ortho Physicians (Proxy),Level I Trauma (Main); 18 Hospitals,James Voos (Chairman); Cliff Megerian (CEO),Non-profit IDN; Sports Med Hub (Browns),Mako; VELYS; Rosa,OH,https://www.uhhospitals.org/for-clinicians/specialties/orthopedics/leadership
UPMC (PA),Multi-Specialty | IDN,4200+ Total Physicians (Proxy),Level I Trauma (Presby); 40 Hospitals,MaCalus Hogan (Chair Ortho); Tim Nedley (VAC),Academic Health System; International (Ireland/Italy),Mako; Rosa,PA; NY; MD,https://www.upmcphysicianresources.com/specialties/orthopaedic-surgery/year-in-review
Allegheny Health Network (PA),Multi-Specialty | IDN,500+ Ortho Specialists (Proxy),Level I Trauma (General); 14 Hospitals,Mark Sevco (President); Lou Baverso (VAC/COO),Subsidiary of Highmark Health; Living Health Model,Mako; High Volume Trauma,PA; NY; WV,https://www.prnewswire.com/news-releases/highmark-health-names-mark-sevco-as-president-of-allegheny-health-network-302377237.html
Main Line Health (PA),Multi-Specialty | IDN,300+ Ortho Specialists (Proxy),Level II Trauma (Lankenau); 5 Hospitals,Scott Rushton (Director); Christine Torres (VAC),Non-profit IDN; 3B Orthopaedics Affiliate,Mako; Sub-specialized Spine/Joint,PA,https://www.mainlinehealth.org/locations/orthopaedics
Sentara Health (VA/NC),Multi-Specialty | IDN,500+ Ortho Specialists (Proxy),Level I Trauma (Norfolk); 12 Hospitals,Erick Vitug (VP Ortho/Neuro); Cathy Gray (VAC),Non-profit IDN; Strong Mid-Atlantic Footprint,Mako; Robotics-led Joint program,VA; NC,https://www.sentara.com/aboutus/news/articles/sentara-announces-leadership-changes-2026
Inova (VA),Multi-Specialty | IDN,400+ Ortho Specialists (Proxy),Level I Trauma (Fairfax); 5 Hospitals,Robert Hymes (Line Chief); John Moynihan (VAC),Non-profit IDN; Washington Nationals Partner,Mako; Rosa; DaVinci,VA; MD; DC,https://www.inova.org/locations/inova-trauma-center-fairfax
Hackensack Meridian Health (NJ),Multi-Specialty | IDN,1000+ Ortho Specialists (Proxy),Level I Trauma (HUMC); 18 Hospitals,Wayne Berberian (Director); Blomback (VAC),Non-profit IDN; Largest NJ Surgical Network,Mako; Rosa; CORI,NJ; NY,https://www.hackensackmeridianhealth.org/en/news/2025/03/03/new-jersey-now-has-its-first-verified-level-1-pediatric-trauma-center
Atlantic Health System (NJ),Multi-Specialty | IDN,4800+ Total Physicians (Proxy),Level II Trauma (Morristown); 6 Hospitals,Saad Ehtisham (CEO); Ellen Dean (Ortho Dir),Non-profit IDN; Morristown Medical Center Anchor,Mako; High Volume Outpatient,NJ; PA,https://www.atlantichealth.org/press-releases/2025/atlantic-health-names-saad-ehtisham-as-president-ceo
Virtua Health (NJ),Multi-Specialty | IDN,500+ Ortho Specialists (Proxy),Level II Trauma (Marlton); 5 Hospitals,James Sanfilippo (VP Ops); Sanchez (VAC Lead),Non-profit IDN; Strong Ortho JV ASC model,Mako; High-volume Joint Replacement,NJ; PA,https://www.causeiq.com/organizations/virtua-medical-group-271348772/
Orlando Health (FL),Multi-Specialty | IDN,500+ Ortho Specialists (Proxy),Level I Trauma (ORMC); 15 Hospitals,Michael Jablonski (President Jewett); Ultima Espino (VAC),Non-profit IDN; Jewett Orthopedic Institute Hub,Mako; Rosa; DaVinci,FL; AL,https://www.orlandohealth.com/content-hub/oh-unveils-renovated-emergency-department-at-central-floridas-only-level-one-trauma-center
St. Luke’s University Health Network (PA/NJ),Multi-Specialty | IDN,400+ Ortho Specialists (Proxy),Level I Trauma (Bethlehem); 15 Hospitals,Douglas Lundy (Chair); Jessica Kamensky (Line Admin),Non-profit IDN; Dedicated Orthopedic Hospital,VELYS; High Volume Elective,PA; NJ,https://www.slhn.org/fitness/blog/2023/new-orthopedic-hospital
Johns Hopkins Medicine,Multi-Specialty | IDN (Academic),150+ Ortho/Spine,6 Hospitals; 10+ ASCs,"Amit Jain (VP Care Transformation); Khaled Kebaish (Spine Chief)",Academic Non-Profit,Complex Spine (Robotic); Total Joint; Pediatric Ortho,"MD, FL, DC",https://www.hopkinsmedicine.org/orthopaedic-surgery/specialty-areas/spine
Duke Health,Multi-Specialty | IDN (Academic),120+ Ortho/Spine,3 Hospitals; 15+ Clinics,"Christopher Shaffrey (Spine Chief); Michael Gottschalk (Chair)",Academic Non-Profit,Complex Spine; Sports Medicine; Hand/Upper Extremity,"NC, VA, SC",https://www.dukehealth.org/treatments/orthopaedics/spine-care
Mass General Brigham,Multi-Specialty | IDN (Academic),250+ Ortho/Spine,12 Hospitals; 20+ ASCs,"Mitch Harris (Chair); Stuart Hershman (Spine Chief)",Academic Non-Profit,Spine Surgery; Trauma; Joint Replacement,"MA, NH, RI",https://www.massgeneralbrigham.org/en/patient-care/services-and-specialties/orthopaedics
Mayo Clinic,Multi-Specialty | IDN (Academic),300+ Ortho/Spine,20+ Hospitals (Global System),"Jim Francis (CSCO); Benjamin Elder (Spine Lead)",Academic Non-Profit,Multi-Level Spine; Sarcoma; Revision Arthroplasty,"MN, AZ, FL",https://www.mayoclinic.org/departments-centers/orthopedic-surgery/sections/overview/ovc-20126768
MedStar Health,Multi-Specialty | IDN (Regional),100+ Ortho/Spine,10 Hospitals; 30+ Sports Med Centers,"Seyed Babak Kalantar (Spine Chief); Stephen Evans (CMO)",Non-Profit,Spine; Sports Medicine; Foot & Ankle,"MD, DC, VA",https://www.medstarhealth.org/services/orthopaedics-and-sports-medicine
Ochsner Health,Multi-Specialty | IDN (Regional),80+ Ortho/Spine,40+ Hospitals (Owned/Managed),"George Chimento (Chair); Deryk Jones (Sports Med Chief)",Non-Profit,Robotic Joint Replacement; Spine; Pediatric Ortho,"LA, MS, AL",https://www.ochsner.org/services/orthopedics
UMMS (University of Maryland Medical System),Multi-Specialty | IDN (Academic),110+ Ortho/Spine,11 Hospitals,"Steven Ludwig (Spine Chief); Gary Kane (VP Supply Chain)",Non-Profit,Spine Trauma; Ortho Oncology; Sports Med,"MD, PA, DE",https://www.umms.org/ummc/health-services/orthopaedics
Wake Forest Baptist Health,Multi-Specialty | IDN (Academic),90+ Ortho/Spine,7 Hospitals,"David Reese O'Brien (Medical Spine Chief); Kelly Rosenfeld (AVP MSK)",Non-Profit (Part of Advocate),Spine; Joint Replacement; Trauma,"NC, SC, VA",https://www.wakehealth.edu/specialty/o/orthopaedics
