Company,Website,State,City,Specialty,Procedure_Focus_Final,Disease_Focus_Tag,Disease_Focus_Evidence,Estimated_ASC_Count,Affiliated_Surgeon_Count,Procedure_Volume_Tier,Ownership_Model,Lead_BD_Contact,Contact_LinkedIn,Flagship_NPI
Advanced Orthopedic Surgery Center,https://advancedorthosc.com/,CA,San Diego,,,Orthopedics,Physician-owned ASC exclusively for orthopedic and spinal outpatient surgery: [advancedorthosc.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Advanced Pain Management & Rehab,https://www.advancedpainmd.com/,CA,Sacramento,,,Pain Management,Focuses on minimally invasive pain procedures and spinal diagnostics: [advancedpainmd.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Advanced Surgery Center of North County,https://advancedsurgerycenternc.com/,CA,Escondido,,,Multi-Specialty,Accredited ASC serving North San Diego County specialists: [advancedsurgerycenternc.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Advanced Surgical Center of Beverly Hills,https://www.advancedsurgicalcenterofbh.com/,CA,Beverly Hills,Multi-Specialty,Mixed,Orthopedics | Spine | Pain Management,State-of-the-art facility specializing in spine and joint surgery: [advancedsurgicalcenterofbh.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Alvarado Orthopedic Medical Group,http://alvaradoortho.com/,CA,San Diego,Orthopedics,Orthopedic,Orthopedics,Multi-surgeon group serving San Diego and Coronado: [alvaradoortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Alvarado Surgery Center,https://alvaradosurgery.com/,CA,San Diego,,,Multi-Specialty,Specialized outpatient facility in East San Diego: [alvaradosurgery.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Ambulatory Surgery Center of Stockton,https://ascstockton.com/,CA,Stockton,,,Orthopedics | Spine,Dedicated outpatient surgical facility with heavy orthopedic volume: [ascstockton.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Anaheim Surgery Center,https://anaheimasc.com/,CA,Anaheim,,,Multi-Specialty,Specialized clinic for orthopedic and spinal outpatient surgery in Anaheim: [anaheimasc.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Antelope Valley Orthopaedic Associates,https://avortho.com/,CA,Lancaster,,,Orthopedics,Comprehensive practice with on-site Antelope Valley Surgery Center: [avortho.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Apex Spine & Neurosurgery,https://apexspinecenter.com/,CA,Los Angeles,Spine,Spine,Spine,Specialized neurosurgical spine practice: [apexspinecenter.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Arcadia Outpatient Surgery Center,https://arcadiaasc.com/,CA,Arcadia,,,Multi-Specialty,Modern surgical center serving the San Gabriel Valley: [arcadiaasc.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
