distributor_name,organization_name_raw,organization_type,city,state,relationship_type,relationship_description,evidence_text_short,source_url,source_name,source_publish_date,source_access_date,confidence_score,is_confirmed_relationship,extraction_method,notes,normalized_organization_name
Medline,Kaweah Health,IDN,Visalia,CA,confirmed_supply,Exclusive provider of medical and surgical supplies,Exclusive provider of medical and surgical supplies,https://newsroom.medline.com/releases/kaweah-health-signs-medline-as-prime-vendor/,Medline Newsroom,2024-10-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,KAWEAH
Medline,Sutter Health,IDN,Sacramento,CA,confirmed_supply,Expanded med-surg PV to include lab and EVS,Expanded med-surg PV to include lab and EVS,https://newsroom.medline.com/releases/northern-california-based-sutter-health-extends-medline-prime-vendor-agreement-to-lab-and-evs/,Medline Newsroom,2024-11-19,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,SUTTER
Medline,PIH Health,IDN,Whittier,CA,confirmed_supply,Expanded PV to all points of care including labs and physician offices,Expanded PV to all points of care including labs and physician offices,https://newsroom.medline.com/releases/pih-health-medline-expand-prime-vendor-partnership-to-service-all-points-of-care/,Medline Newsroom,2024-02-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,PIH
Medline,Sullivan County Community Hospital,hospital,Sullivan,IN,confirmed_supply,Named Medline as Prime Vendor for 16 facilities,Named Medline as Prime Vendor for 16 facilities,https://newsroom.medline.com/press-releases/,Medline Newsroom,2026-04-07,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,SULLIVAN COUNTY COMMUNITY
Medline,LifeBridge Health,IDN,Baltimore,MD,confirmed_supply,Implemented PV agreement for 5 hospitals,Implemented PV agreement for 5 hospitals,https://www.publicnow.com/view/34AD1C390F7446DF9A9853D1B02C824CC69021C3,Medline Newsroom,2026-03-31,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,LIFEBRIDGE
Medline,O'Neill Healthcare,IDN,Cleveland,OH,confirmed_supply,Primary distributor for 6 senior care facilities,Primary distributor for 6 senior care facilities,https://respiratory-therapy.com/products-treatment/industry-regulatory-news/business-news/oneill-healthcare-awards-prime-vendor-business-to-medline/,Respiratory Therapy,2025-03-31,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,O'NEILL
Medline,"Urology, P.C.",ASC,Lincoln,NE,confirmed_supply,Medical surgical prime vendor for 18 clinics,Medical surgical prime vendor for 18 clinics,https://www.prnewswire.com/news-releases/medline-announces-prime-vendor-agreement-with-nebraska-based-urology-pc-302158181.html,PR Newswire,2024-05-29,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,UROLOGY PC
Medline,Jackson Hospital,hospital,Montgomery,AL,confirmed_supply,Named primary supplier for EVS products,Named primary supplier for EVS products,https://newsroom.medline.com/releases/jackson-hospital-inks-new-partnership-with-medline/,Medline Newsroom,2024-10-31,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,JACKSON
Medline,University of Utah Health,IDN,Salt Lake City,UT,confirmed_supply,Exclusive PV for medical supplies across continuum of care,Exclusive PV for medical supplies across continuum of care,https://newsroom.medline.com/releases/medline-announces-new-prime-vendor-partnership-with-university-of-utah-health/,Medline Newsroom,2023-11-07,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,UNIVERSITY OF UTAH
Medline,Lake Regional Health System,IDN,Osage Beach,MO,confirmed_supply,Exclusive provider of med-surg supplies,Exclusive provider of med-surg supplies,https://newsroom.medline.com/releases/lake-regional-health-system-enters-prime-vendor-agreement-with-medline/,Medline Newsroom,2023-06-13,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,LAKE REGIONAL
Medline,Tri-City Medical Center,hospital,Oceanside,CA,confirmed_supply,Multi-year PV partnership valued at $30M,Multi-year PV partnership valued at $30M,https://newsroom.medline.com/releases/tri-city-medical-center-names-medline-as-a-prime-vendor/,Medline Newsroom,2023-01-17,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,TRI-CITY
Medline,St. Joseph's/Candler,IDN,Savannah,GA,confirmed_supply,Lab prime vendor for hospital labs and 20+ clinical labs,Lab prime vendor for hospital labs and 20+ clinical labs,https://newsroom.medline.com/releases/st-josephs-candler-selects-medline-as-lab-prime-vendor/,Medline Newsroom,2023-10-17,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ST JOSEPH'S/CANDLER
Medline,St. Luke's,IDN,Duluth,MN,confirmed_supply,Five-year primary supplier vendor agreement,Five-year primary supplier vendor agreement,https://newsroom.medline.com/releases/medline-signs-strategic-partnership-with-st-lukes-in-duluth-mn/,Medline Newsroom,2024-01-31,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ST LUKE'S
Medline,The Ohio State University Wexner Medical Center,IDN,Columbus,OH,confirmed_supply,Prime vendor for med-surg supplies for 100+ facilities,Prime vendor for med-surg supplies for 100+ facilities,https://newsroom.medline.com/releases/medline-signs-prime-vendor-agreement-to-supply-the-ohio-state-university-wexner-medical-center/,Medline Newsroom,2025-06-04,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,OHIO STATE UNIVERSITY WEXNER
Medline,West Calcasieu Cameron Hospital,hospital,Sulphur,LA,confirmed_supply,Multi-year PV agreement,Multi-year PV agreement,https://newsroom.medline.com/releases/prime-vendor-calcasieu-cameron-hospital/,Medline Newsroom,2025-09-08,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,WEST CALCASIEU CAMERON
Medline,Hunterdon Health,IDN,Flemington,NJ,confirmed_supply,Multi-year PV distribution agreement,Multi-year PV distribution agreement,https://newsroom.medline.com/releases/hunterdon-health-prime-vendor/,Medline Newsroom,2025-09-23,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,HUNTERDON
Medline,LCMC Health,IDN,New Orleans,LA,confirmed_supply,"PV for 8 hospitals, 10 ERs, and 8 urgent care centers","PV for 8 hospitals, 10 ERs, and 8 urgent care centers",https://newsroom.medline.com/releases/lcmc-health-prime-vendor-medline/,Medline Newsroom,2025-09-17,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,LCMC
Medline,Marquis Companies,IDN,Portland,OR,confirmed_supply,"PV for 27 facilities in OR, CA, and NV","PV for 27 facilities in OR, CA, and NV",https://newsroom.medline.com/releases/marquis-companies-prime-vendor-medline/,Medline Newsroom,2025-10-28,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,MARQUIS COMPANIES
Medline,Carson Tahoe Health,IDN,Carson City,NV,confirmed_supply,Transitioned lab distribution to Medline,Transitioned lab distribution to Medline,https://newsroom.medline.com/releases/carson-tahoe-health-lab-prime-vendor/,Medline Newsroom,2025-12-02,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,CARSON TAHOE
Medline,Gila Regional Medical Center,hospital,Silver City,NM,confirmed_supply,Multi-year PV agreement for 25-bed critical access hospital,Multi-year PV agreement for 25-bed critical access hospital,https://newsroom.medline.com/releases/gila-regional-medical-center-awards-medline-prime-vendor-agreement/,Medline Newsroom,2025-08-11,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,GILA REGIONAL
Medline,CarDon & Associates,IDN,Bloomington,IN,confirmed_supply,PV for 20 communities,PV for 20 communities,https://www.publicnow.com/view/36C2733CD03FC0F317C5BCD66D49EC49BCB0CA60,Medline Newsroom,2026-03-24,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,CARDON & ASSOCIATES
