Company,Growth Category,Physician Density,Scale Metric,Decision Makers,Ownership Structure,Procedure Focus,Top State Footprint (Excl. CA),Verification URL (2024-2026)
McBride Orthopedic Hospital (OK),Multi-Specialty | Specialty Hospital,45+ Ortho/Spine,1 Surgical Hospital; 5+ Clinics,"Mark Galliart (CEO); Matt Dumigan (President)",Physician-Owned,Pure Ortho; Sports Med; Joint Replacement,OK (Primary),https://mcboh.com/about/who-we-are
Orthopaedic Hospital of Wisconsin (WI),Multi-Specialty | Specialty Hospital,80+ Affiliated Ortho,1 Surgical Hospital; 10+ Clinics,"Brandon G. Goldbeck (CEO); Brian McCarty (CSO)",JV (Physician-Led/Ascension),Total Joint; Sports Med; Robotics,WI (Primary),https://www.ohow.com/2021/04/29/the-orthopaedic-hospital-of-wisconsin-is-pleased-to-announce-brandon-g-goldbeck-as-our-new-ceo/
Tulsa Spine & Specialty Hospital (OK),Multi-Specialty | Specialty Hospital,35+ Spine/Ortho Surgeons,1 Surgical Hospital,"Sean Crutchfield (CEO); Kevin Moore (CFO)",Physician-Owned / JV,Complex Spine (Mazor X); Robotic Joint,OK (Primary),https://tulsaspine.com/about-us/
Kansas City Orthopaedic Institute (MO),Multi-Specialty | Specialty Hospital,40+ Ortho Surgeons,1 Surgical Hospital; 4 Clinics,"Gene Austin (CEO); Charles Rhoades (Medical Director)",Physician-Owned (KCOA),Joint Replacement (Mako); Sports Med,MO (Primary); KS,https://www.kcoi.com/blog/kansas-city-orthopaedic-institute-names-gene-austin-new-ceo/
Lincoln Surgical Hospital (NE),Multi-Specialty | Specialty Hospital,25+ Ortho/Spine,1 Surgical Hospital (10 ORs),"Doug Shelledy (CEO); Robbie Dumler (CFO)",Physician-Owned,Multi-Specialty; High-Volume Joint; Spine,NE (Primary),https://lincolnsurgery.com/about/
Sioux Falls Specialty Hospital (SD),Multi-Specialty | Specialty Hospital,50+ Surgeons,1 Surgical Hospital; 2 ASCs,"Blake Curd (CEO); Blake Smebakken (CFO)",Physician-Owned,Multi-Specialty; Robotics (Mako); Joint,SD (Primary); MN; IA,https://sfsh.com/about-us/
Black Hills Surgical Hospital (SD),Multi-Specialty | Specialty Hospital,40+ Surgeons,1 Surgical Hospital,"Kyle Wiese (CEO); Joe Cass (Pres. BHOSC)",Physician-Owned (Sanford Partner),Multi-Specialty; Spine; Joint; Robotics,SD (Primary); WY,https://news.sanfordhealth.org/news/landmark-gift-establishes-sanford-black-hills-medical-center/
Manhattan Surgical Hospital (KS),Multi-Specialty | Specialty Hospital,15+ Ortho Surgeons,1 Surgical Hospital,"Melissa Westcott (CEO); Jane Alderson (COO)",Physician-Owned,Multi-Specialty; Robotics (ROSA); Ortho,KS (Primary),https://www.manhattansurgical.com/leadership-team.html
Advanced Surgical Hospital (PA),Multi-Specialty | Specialty Hospital,20+ Ortho Surgeons,1 Surgical Hospital,"Anne S. Hast (CEO); Michael Zernich (Medical Dir)",Physician-Owned,Pure Ortho; Complex Joint; Sports Med,PA (Primary),https://www.ashospital.net/blog/advanced-surgical-hospital-ceo-named-top-female-business-leader-in-pennsylvania
The Orthopaedic Hospital at Saint Joseph (IN),Multi-Specialty | Specialty Hospital,30+ Ortho Surgeons,1 Surgical Hospital,"Alisa George (CEO/Exec Director); John Rice (CMO)",Specialty Unit / System,Pure Ortho; High-Volume Joint; Spine,IN (Primary); MI,https://www.sjmed.com/find-a-service-or-specialty/orthopedics/orthopaedic-hospital
